"wykaz","pozycja na liście","Tytuł","ISSN","Liczba punktów"
"A","1454","Biotechnology Journal","1860-6768","35"
"A","1455","BIOTECHNOLOGY LAW REPORT","0730-031X","15"
"A","1456","BIOTECHNOLOGY LETTERS","0141-5492","20"
"A","1457","BIOTECHNOLOGY PROGRESS","8756-7938","30"
"A","1458","BIOTROPICA","0006-3606","25"
"A","1459","BIPOLAR DISORDERS","1398-5647","40"
"A","1460","BIRD CONSERVATION INTERNATIONAL","0959-2709","30"
"A","1461","BIRD STUDY","0006-3657","25"
"A","1462","BIRTH DEFECTS RESEARCH PART A-CLINICAL AND MOLECULAR TERATOLOGY","1542-9768","25"
"A","1463","BIRTH DEFECTS RESEARCH PART B-DEVELOPMENTAL AND REPRODUCTIVE TOXICOLOGY","1542-9733","25"
"A","1464","BIRTH DEFECTS RESEARCH PART C-EMBRYO TODAY-REVIEWS","1542-975X","40"
"A","1465","BIRTH-ISSUES IN PERINATAL CARE","0730-7659","45"
"A","1466","BIT NUMERICAL MATHEMATICS","0006-3835","30"
"A","1467","BJOG-AN INTERNATIONAL JOURNAL OF OBSTETRICS AND GYNAECOLOGY","1470-0328","40"
"A","1468","BJU INTERNATIONAL","1464-4096","35"
"A","1469","BLACK SCHOLAR","0006-4246","15"
"A","1470","BLOOD","0006-4971","50"
"A","1471","Blood Cancer Journal","2044-5385","15"
"A","1472","BLOOD CELLS MOLECULES AND DISEASES","1079-9796","20"
"A","1473","BLOOD COAGULATION & FIBRINOLYSIS","0957-5235","15"
"A","1474","BLOOD PRESSURE","0803-7051","20"
"A","1475","BLOOD PRESSURE MONITORING","1359-5237","20"
"A","1476","BLOOD PURIFICATION","0253-5068","25"
"A","1477","BLOOD REVIEWS","0268-960X","40"
"A","1478","Blood Transfusion","1723-2007","20"
"A","1479","BLUMEA","0006-5196","15"
"A","1480","BMB Reports","1976-6696","20"
"A","1481","BMC Anesthesiology","1471-2253","20"
"A","1482","BMC BIOCHEMISTRY","1471-2091","15"
"A","1483","BMC BIOINFORMATICS","1471-2105","35"
"A","1484","BMC BIOLOGY","1741-7007","45"
"A","1485","BMC Biophysics","2046-1682","15"
"A","1486","BMC BIOTECHNOLOGY","1472-6750","30"
"A","1487","BMC CANCER","1471-2407","30"
"A","1488","BMC Cardiovascular Disorders","1471-2261","20"
"A","1489","BMC CELL BIOLOGY","1471-2121","25"
"A","1490","BMC Complementary and Alternative Medicine","1472-6882","30"
"A","1491","BMC DEVELOPMENTAL BIOLOGY","1471-213X","25"
"A","1492","BMC Endocrine Disorders","1472-6823","25"
"A","1493","BMC EVOLUTIONARY BIOLOGY","1471-2148","35"
"A","1494","BMC Family Practice","1471-2296","30"
"A","1495","BMC GASTROENTEROLOGY","1471-230X","25"
"A","1496","BMC GENETICS","1471-2156","25"
"A","1497","BMC GENOMICS","1471-2164","40"
"A","1498","BMC HEALTH SERVICES RESEARCH","1472-6963","25"
"A","1499","BMC IMMUNOLOGY","1471-2172","25"
"A","1500","BMC INFECTIOUS DISEASES","1471-2334","30"
"A","1501","BMC International Health and Human Rights","1472-698X","15"
"A","1502","BMC Medical Education","1472-6920","35"
"A","1503","BMC Medical Ethics","1472-6939","35"
"A","1504","BMC Medical Genetics","1471-2350","25"
"A","1505","BMC Medical Genomics","1755-8794","30"
"A","1506","BMC Medical Informatics and Decision Making","1472-6947","25"
"A","1507","BMC Medical Research Methodology","1471-2288","35"
"A","1508","BMC Medicine","1741-7015","45"
"A","1509","BMC MICROBIOLOGY","1471-2180","30"
"A","1510","BMC MOLECULAR BIOLOGY","1471-2199","30"
"A","1511","BMC MUSCULOSKELETAL DISORDERS","1471-2474","25"
"A","1512","BMC Nephrology","1471-2369","25"
"A","1513","BMC Neurology","1471-2377","30"
"A","1514","BMC NEUROSCIENCE","1471-2202","25"
"A","1515","BMC Ophthalmology","1471-2415","25"
"A","1516","BMC Oral Health","1472-6831","20"
"A","1517","BMC Pediatrics","1471-2431","30"
"A","1518","BMC PLANT BIOLOGY","1471-2229","40"
"A","1519","BMC Pregnancy and Childbirth","1471-2393","35"
"A","1520","BMC Psychiatry","1471-244X","30"
"A","1521","BMC PUBLIC HEALTH","1471-2458","35"
"A","1522","BMC Pulmonary Medicine","1471-2466","30"
"A","1523","BMC STRUCTURAL BIOLOGY","1472-6807","20"
"A","1524","BMC Surgery","1471-2482","30"
"A","1525","BMC Systems Biology","1752-0509","35"
"A","1526","BMC Urology","1471-2490","25"
"A","1527","BMC Veterinary Research","1746-6148","35"
"A","1528","BMC Womens Health","1472-6874","25"
"A","1529","BMJ Open","2044-6055","25"
"A","1530","BMJ Quality & Safety","2044-5415","30"
"A","1531","Body Image","1740-1445","30"
"A","1532","BODY SOC","1357-034X","30"
"A","1533","BOIS ET FORETS DES TROPIQUES","0006-579X","15"
"A","1534","Boletim  do  Instituto  de  Pesca","0046-9939","15"
"A","1535","Boletim de Ciencias Geodesicas","1982-2170","15"
"A","1536","Boletin de la Asociacion de Geografos Espanoles","0212-9426","15"
"A","1537","Boletin de la Sociedad Argentina de Botanica","1851-2372","15"
"A","1538","BOLETIN DE LA SOCIEDAD BOTANICA DE MEXICO","0366-2128","20"
"A","1539","BOLETIN DE LA SOCIEDAD ESPANOLA DE CERAMICA Y VIDRIO","0366-3175","20"
"A","1540","Boletin de Malariologia y Salud Ambiental","1690-4648","15"
"A","1541","Boletin Latinoamericano y del Caribe de Plantas Medicinales y Aromaticas","0717-7917","15"
"A","1542","BOLLETTINO DELLA SOCIETA PALEONTOLOGICA ITALIANA","0375-7633","15"
"A","1543","Bollettino di Geofisica Teorica ed Applicata","0006-6729","15"
"A","1544","Bollettino di Storia delle Scienze Matematiche","0392-4432","15"
"A","1545","BONE","8756-3282","35"
"A","1546","BONE MARROW TRANSPLANTATION","0268-3369","30"
"A","1547","BONNER ZOOLOGISCHE MONOGRAPHIEN","0302-671X","15"
"A","1548","BOREAL ENVIRONMENT RESEARCH","1239-6095","25"
"A","1549","BOREAS","0300-9483","35"
"A","1550","Bosnian  Journal  of  Basic  Medical  Sciences","1512-8601","15"
"A","1551","BOSQUE","0717-9200","15"
"A","1552","BOSTON UNIVERSITY LAW REVIEW","0006-8047","30"
"A","1553","BOTANICA HELVETICA","0253-1453","20"
"A","1554","BOTANICA MARINA","0006-8055","25"
"A","1555","BOTANICAL JOURNAL OF THE LINNEAN SOCIETY","0024-4074","30"
"A","1556","BOTANICAL REVIEW","0006-8101","35"
"A","1557","Botanical Studies","1817-406X","20"
"A","1558","Botany-Botanique","1916-2790","25"
"A","1559","BOTHALIA","0006-8241","20"
"A","1560","boundary 2","0190-3659","20"
"A","1561","Boundary Value Problems","1687-2770","35"
"A","1562","BOUNDARY-LAYER METEOROLOGY","0006-8314","30"
"A","1563","Brachytherapy","1538-4721","20"
"A","1564","Bradleya","0265-086X","15"
"A","1565","BRAIN","0006-8950","50"
"A","1566","BRAIN BEHAV EVOLUT","0006-8977","30"
"A","1567","BRAIN BEHAVIOR AND IMMUNITY","0889-1591","40"
"A","1568","BRAIN COGNITION","0278-2626","30"
"A","1569","BRAIN DEV-JPN","0387-7604","20"
"A","1570","Brain Imaging and Behavior","1931-7557","30"
"A","1571","Brain Impairment","1443-9646","15"
"A","1572","BRAIN INJURY","0269-9052","30"
"A","1573","BRAIN LANG","0093-934X","40"
"A","1574","BRAIN PATHOLOGY","1015-6305","40"
"A","1575","BRAIN RES","0006-8993","25"
"A","1576","BRAIN RESEARCH BULLETIN","0361-9230","20"
"A","1577","BRAIN RESEARCH REVIEWS","0165-0173","45"
"A","1578","Brain Stimulation","1935-861X","45"
"A","1579","Brain Structure & Function","1863-2653","45"
"A","1580","BRAIN TOPOGRAPHY","0896-0267","30"
"A","1581","Brain Tumor Pathology","1433-7398","20"
"A","1582","Bratislava Medical Journal-Bratislavske Lekarske Listy","0006-9248","20"
"A","1583","BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY","1516-8913","15"
"A","1584","BRAZILIAN JOURNAL OF BIOLOGY","1519-6984","15"
"A","1585","BRAZILIAN JOURNAL OF CHEMICAL ENGINEERING","0104-6632","25"
"A","1586","Brazilian Journal of Infectious Diseases","1413-8670","15"
"A","1587","BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH","0100-879X","25"
"A","1588","BRAZILIAN JOURNAL OF MICROBIOLOGY","1517-8382","15"
"A","1589","BRAZILIAN JOURNAL OF OCEANOGRAPHY","1679-8759","15"
"A","1590","Brazilian Journal of Otorhinolaryngology","1808-8694","15"
"A","1591","Brazilian Journal of Pharmaceutical Sciences","1984-8250","15"
"A","1592","BRAZILIAN JOURNAL OF PHYSICS","0103-9733","20"
"A","1593","Brazilian Journal of Poultry Science","1516-635X","20"
"A","1594","Brazilian Journal of Probability and Statistics","0103-0752","15"
"A","1595","Breast Cancer","1340-6868","20"
"A","1596","BREAST CANCER RESEARCH","1465-542X","40"
"A","1597","BREAST CANCER RESEARCH AND TREATMENT","0167-6806","35"
"A","1598","Breast Care","1661-3791","15"
"A","1599","Breast Journal","1075-122X","25"
"A","1600","Breastfeeding Medicine","1556-8253","30"
"A","1601","BREEDING SCIENCE","1344-7610","30"
"A","1602","BRIEFINGS IN BIOINFORMATICS","1467-5463","50"
"A","1603","Briefings in Functional Genomics","2041-2649","35"
"A","1604","BRIT EDUC RES J","0141-1926","35"
"A","1605","BRIT J CLIN PSYCHOL","0144-6657","35"
"A","1606","BRIT J CRIMINOL","0007-0955","35"
"A","1607","BRIT J DEV DISABIL","0969-7950","15"
"A","1608","BRIT J DEV PSYCHOL","0261-510X","20"
"A","1609","BRIT J EDUC PSYCHOL","0007-0998","35"
"A","1610","BRIT J EDUC STUD","0007-1005","30"
"A","1611","BRIT J EDUC TECHNOL","0007-1013","40"
"A","1612","BRIT J GUID COUNS","0306-9885","15"
"A","1613","BRIT J HEALTH PSYCH","1359-107X","30"
"A","1614","BRIT J HIST SCI","0007-0874","30"
"A","1615","BRIT J MANAGE","1045-3172","30"
"A","1616","BRIT J MATH STAT PSY","0007-1102","25"
"A","1617","BRIT J MIDDLE E STUD","1353-0194","20"
"A","1618","BRIT J PHILOS SCI","0007-0882","35"
"A","1619","BRIT J PSYCHOL","0007-1269","35"
"A","1620","BRIT J RELIG EDUC","0141-6200","20"
"A","1621","BRIT J SOC PSYCHOL","0144-6665","35"
"A","1622","BRIT J SOCIOL EDUC","0142-5692","30"
"A","1623","BRIT POLIT","1746-918X","25"
"A","1624","Britain and the World","2043-8567","15"
"A","1625","BRITISH DENTAL JOURNAL","0007-0610","20"
"A","1626","British Food Journal","0007-070X","20"
"A","1627","BRITISH JOURNAL OF ANAESTHESIA","0007-0912","40"
"A","1628","BRITISH JOURNAL OF BIOMEDICAL SCIENCE","0967-4845","20"
"A","1629","BRITISH JOURNAL OF CANCER","0007-0920","35"
"A","1630","BRITISH JOURNAL OF CLINICAL PHARMACOLOGY","0306-5251","35"
"A","1631","BRITISH JOURNAL OF DERMATOLOGY","0007-0963","40"
"A","1632","BRITISH JOURNAL OF HAEMATOLOGY","0007-1048","35"
"A","1633","BRITISH JOURNAL OF HOSPITAL MEDICINE","1750-8460","15"
"A","1634","BRITISH JOURNAL OF INDUSTRIAL RELATIONS","0007-1080","30"
"A","1635","British Journal of Learning Disabilities","1354-4187","15"
"A","1636","British Journal of Music Education","0265-0517","30"
"A","1637","BRITISH JOURNAL OF NEUROSURGERY","0268-8697","20"
"A","1638","BRITISH JOURNAL OF NUTRITION","0007-1145","35"
"A","1639","British Journal of Occupational Therapy","0308-0226","20"
"A","1640","BRITISH JOURNAL OF OPHTHALMOLOGY","0007-1161","40"
"A","1641","BRITISH JOURNAL OF ORAL & MAXILLOFACIAL SURGERY","0266-4356","30"
"A","1642","BRITISH JOURNAL OF PHARMACOLOGY","0007-1188","40"
"A","1643","BRITISH JOURNAL OF POLITICAL SCIENCE","0007-1234","40"
"A","1644","British Journal of Politics & International Relations","1369-1481","25"
"A","1645","BRITISH JOURNAL OF PSYCHIATRY","0007-1250","45"
"A","1646","BRITISH JOURNAL OF RADIOLOGY","0007-1285","25"
"A","1647","BRITISH JOURNAL OF SOCIAL WORK","0045-3102","30"
"A","1648","BRITISH JOURNAL OF SOCIOLOGY","0007-1315","40"
"A","1649","BRITISH JOURNAL OF SPORTS MEDICINE","0306-3674","40"
"A","1650","BRITISH JOURNAL OF SURGERY","0007-1323","45"
"A","1651","BRITISH MEDICAL BULLETIN","0007-1420","40"
"A","1652","BRITISH MEDICAL JOURNAL","1756-1833","45"
"A","1653","BRITISH POULTRY SCIENCE","0007-1668","30"
"A","1654","BRITTONIA","0007-196X","15"
"A","1655","Brodogradnja","0007-215X","15"
"A","1656","BROOKINGS PAPERS ON ECONOMIC ACTIVITY","0007-2303","50"
"A","1657","BRYOLOGIST","0007-2745","20"
"A","1658","Buffalo Bulletin","0125-6726","15"
"A","1659","BUFFALO LAW REVIEW","0023-9356","20"
"A","1660","BUILDING AND ENVIRONMENT","0360-1323","40"
"A","1661","BUILDING RESEARCH AND INFORMATION","0961-3218","40"
"A","1662","Building Services Engineering Research & Technology","0143-6244","25"
"A","1663","Building Simulation","1996-3599","25"
"A","1664","Bulgarian Chemical Communications","0324-1130","15"
"A","1665","Bulgarian Journal of Agricultural Science","1310-0351","15"
"A","1666","Bulletin  of  the  Veterinary  Institute  in  Pulawy","0042-4870","20"
"A","1667","BULLETIN DE L ACADEMIE NATIONALE DE MEDECINE","0001-4079","15"
"A","1668","BULLETIN DE L ACADEMIE VETERINAIRE DE FRANCE","0001-4192","15"
"A","1669","BULLETIN DE LA SOCIETE GEOLOGIQUE DE FRANCE","0037-9409","25"
"A","1670","BULLETIN DE LA SOCIETE MATHEMATIQUE DE FRANCE","0037-9484","20"
"A","1671","BULLETIN DES SCIENCES MATHEMATIQUES","0007-4497","20"
"A","1672","BULLETIN DU CANCER","0007-4551","15"
"A","1673","Bulletin Mathematique de la Societe des Sciences Mathematiques de Roumanie","1220-3874","20"
"A","1674","Bulletin of Earthquake Engineering","1570-761X","30"
"A","1675","BULLETIN OF ECONOMIC RESEARCH","0307-3378","15"
"A","1676","Bulletin of Engineering Geology and the Environment","1435-9529","15"
"A","1677","BULLETIN OF ENTOMOLOGICAL RESEARCH","0007-4853","35"
"A","1678","BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY","0007-4861","20"
"A","1679","BULLETIN OF EXPERIMENTAL BIOLOGY AND MEDICINE","0007-4888","15"
"A","1680","BULLETIN OF GEOSCIENCES","1214-1119","20"
"A","1681","BULLETIN OF INDONESIAN ECONOMIC STUDIES","0007-4918","25"
"A","1682","BULLETIN OF INSECTOLOGY","1721-8861","15"
"A","1683","Bulletin of Latin American Research","0261-3050","20"
"A","1684","BULLETIN OF MARINE SCIENCE","0007-4977","25"
"A","1685","BULLETIN OF MATERIALS SCIENCE","0250-4707","20"
"A","1686","BULLETIN OF MATHEMATICAL BIOLOGY","0092-8240","30"
"A","1687","BULLETIN OF THE AMERICAN MATHEMATICAL SOCIETY","0273-0979","50"
"A","1688","BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY","0003-0007","50"
"A","1689","BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY","0003-0090","35"
"A","1690","Bulletin of the Astronomical Society of India","0304-9523","15"
"A","1691","BULLETIN OF THE ATOMIC SCIENTISTS","0096-3402","20"
"A","1692","BULLETIN OF THE AUSTRALIAN MATHEMATICAL SOCIETY","0004-9727","20"
"A","1693","BULLETIN OF THE BELGIAN MATHEMATICAL SOCIETY-SIMON STEVIN","1370-1444","15"
"A","1694","BULLETIN OF THE BRAZILIAN MATHEMATICAL SOCIETY","1678-7544","15"
"A","1695","BULLETIN OF THE CHEMICAL SOCIETY OF ETHIOPIA","1011-3924","15"
"A","1696","BULLETIN OF THE CHEMICAL SOCIETY OF JAPAN","0009-2673","25"
"A","1697","BULLETIN OF THE EUROPEAN ASSOCIATION OF FISH PATHOLOGISTS","0108-0288","15"
"A","1698","BULLETIN OF THE GEOLOGICAL SOCIETY OF DENMARK","0011-6297","20"
"A","1699","BULLETIN OF THE GEOLOGICAL SOCIETY OF FINLAND","0367-5211","20"
"A","1700","Bulletin of the Iranian Mathematical Society","1735-8515","15"
"A","1701","BULLETIN OF THE KOREAN CHEMICAL SOCIETY","0253-2964","20"
"A","1702","Bulletin of the Korean Mathematical Society","1015-8634","15"
"A","1703","Bulletin of the Lebedev Physics Institute","1068-3356","15"
"A","1704","BULLETIN OF THE LONDON MATHEMATICAL SOCIETY","0024-6093","25"
"A","1705","Bulletin of the Malaysian Mathematical Sciences Society","0126-6705","30"
"A","1706","BULLETIN OF THE MENNINGER CLINIC","0025-9284","25"
"A","1707","Bulletin of the Peabody Museum of Natural History","0079-032X","25"
"A","1708","Bulletin of the Polish Academy of Sciences-Technical Sciences","0239-7528","25"
"A","1709","BULLETIN OF THE SEISMOLOGICAL SOCIETY OF AMERICA","0037-1106","30"
"A","1710","BULLETIN OF THE WORLD HEALTH ORGANIZATION","0042-9686","45"
"A","1711","BULLETIN OF VOLCANOLOGY","0258-8900","35"
"A","1712","Bundesgesundheitsblatt-Gesundheitsforschung-Gesundheitsschutz","1436-9990","20"
"A","1713","BUNSEKI KAGAKU","0525-1931","15"
"A","1714","BURNS","0305-4179","25"
"A","1715","BUS HIST","0007-6791","25"
"A","1716","BUS HIST REV","0007-6805","25"
"A","1717","Business & Information Systems Engineering","1867-0202","20"
"A","1718","Business & Society","0007-6503","25"
"A","1719","BUSINESS ETHICS QUARTERLY","1052-150X","40"
"A","1720","Business Ethics-A European Review","0962-8770","20"
"A","1721","BUSINESS HORIZONS","0007-6813","20"
"A","1722","BUSINESS LAWYER","0007-6899","20"
"A","1723","Business Strategy and the Environment","0964-4733","35"
"A","1724","BWK","1618-193X","15"
"A","1725","CA-A CANCER JOURNAL FOR CLINICIANS","0007-9235","50"
"A","1726","Cadernos de Saude Publica","0102-311X","20"
"A","1727","Cadmo","1122-5165","15"
"A","1728","CAHIERS AGRICULTURES","1166-7699","20"
"A","1729","CAHIERS DE BIOLOGIE MARINE","0007-9723","15"
"A","1730","CALCIFIED TISSUE INTERNATIONAL","0171-967X","25"
"A","1731","CALCOLO","0008-0624","25"
"A","1732","CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS","0944-2669","35"
"A","1733","Calidoscopio","1679-8740","15"
"A","1734","CALIFORNIA AGRICULTURE","0008-0845","30"
"A","1735","CALIFORNIA COOPERATIVE OCEANIC FISHERIES INVESTIGATIONS REPORTS","0575-3317","25"
"A","1736","CALIFORNIA FISH AND GAME","0008-1078","15"
"A","1737","CALIFORNIA LAW REVIEW","0008-1221","40"
"A","1738","CALIFORNIA MANAGEMENT REVIEW","0008-1256","30"
"A","1739","CALPHAD-COMPUTER COUPLING OF PHASE DIAGRAMS AND THERMOCHEMISTRY","0364-5916","25"
"A","1740","CAMBRIDGE JOURNAL OF ECONOMICS","0309-166X","30"
"A","1741","Cambridge Journal of Education","0305-764X","15"
"A","1742","Cambridge Journal of Regions Economy and Society","1752-1378","35"
"A","1743","CAMBRIDGE QUARTERLY OF HEALTHCARE ETHICS","0963-1801","15"
"A","1744","Cambridge Review of International Affairs","0955-7571","15"
"A","1745","CAN MOD LANG REV","0008-4506","25"
"A","1746","CANADIAN ASSOCIATION OF RADIOLOGISTS JOURNAL-JOURNAL DE L ASSOCIATION CANADIENNE DES RADIOLOGISTES","0846-5371","15"
"A","1747","CANADIAN ENTOMOLOGIST","0008-347X","25"
"A","1748","CANADIAN FAMILY PHYSICIAN","0008-350X","30"
"A","1749","CANADIAN GEOGRAPHER-GEOGRAPHE CANADIEN","0008-3658","20"
"A","1750","CANADIAN GEOTECHNICAL JOURNAL","0008-3674","25"
"A","1751","CANADIAN JOURNAL OF ADMINISTRATIVE SCIENCES-REVUE CANADIENNE DES SCIENCES DE L ADMINISTRATION","0825-0383","20"
"A","1752","CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE","0008-3976","25"
"A","1753","Canadian Journal of Anesthesia-Journal canadien d anesthesie","0832-610X","25"
"A","1754","CANADIAN JOURNAL OF ANIMAL SCIENCE","0008-3984","25"
"A","1755","CANADIAN JOURNAL OF BEHAVIOURAL SCIENCE-REVUE CANADIENNE DES SCIENCES DU COMPORTEMENT","0008-400X","20"
"A","1756","CANADIAN JOURNAL OF CARDIOLOGY","0828-282X","30"
"A","1757","CANADIAN JOURNAL OF CHEMICAL ENGINEERING","0008-4034","25"
"A","1758","CANADIAN JOURNAL OF CHEMISTRY-REVUE CANADIENNE DE CHIMIE","0008-4042","20"
"A","1759","CANADIAN JOURNAL OF CIVIL ENGINEERING","0315-1468","20"
"A","1760","CANADIAN JOURNAL OF CRIMINOLOGY AND CRIMINAL JUSTICE","1707-7753","20"
"A","1761","CANADIAN JOURNAL OF DEVELOPMENT STUDIES-REVUE CANADIENNE D ETUDES DU DEVELOPPEMENT","0225-5189","15"
"A","1762","Canadian Journal of Diabetes","1499-2671","15"
"A","1763","CANADIAN JOURNAL OF DIETETIC PRACTICE AND RESEARCH","1486-3847","15"
"A","1764","CANADIAN JOURNAL OF EARTH SCIENCES","0008-4077","20"
"A","1765","CANADIAN JOURNAL OF ECONOMICS-REVUE CANADIENNE D ECONOMIQUE","0008-4085","25"
"A","1766","CANADIAN JOURNAL OF ELECTRICAL AND COMPUTER ENGINEERING-REVUE CANADIENNE DE GENIE ELECTRIQUE ET INFORMATIQUE","0840-8688","15"
"A","1767","Canadian Journal of Emergency Medicine","1481-8035","20"
"A","1768","CANADIAN JOURNAL OF EXPERIMENTAL PSYCHOLOGY-REVUE CANADIENNE DE PSYCHOLOGIE EXPERIMENTALE","1196-1961","15"
"A","1769","CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES","0706-652X","40"
"A","1770","CANADIAN JOURNAL OF FOREST RESEARCH-REVUE CANADIENNE DE RECHERCHE FORESTIERE","0045-5067","35"
"A","1771","CANADIAN JOURNAL OF GASTROENTEROLOGY","0835-7900","20"
"A","1772","Canadian Journal of Infectious Diseases & Medical Microbiology","1712-9532","20"
"A","1773","CANADIAN JOURNAL OF INFORMATION AND LIBRARY SCIENCE-REVUE CANADIENNE DES SCIENCES DE L INFORMATION ET DE BIBLIOTHECONOMIE","1195-096X","15"
"A","1774","CANADIAN JOURNAL OF MATHEMATICS-JOURNAL CANADIEN DE MATHEMATIQUES","0008-414X","25"
"A","1775","CANADIAN JOURNAL OF MICROBIOLOGY","0008-4166","20"
"A","1776","CANADIAN JOURNAL OF NEUROLOGICAL SCIENCES","0317-1671","20"
"A","1777","Canadian Journal of Occupational Therapy-Revue Canadienne d Ergotherapie","0008-4174","15"
"A","1778","CANADIAN JOURNAL OF OPHTHALMOLOGY-JOURNAL CANADIEN D OPHTALMOLOGIE","0008-4182","20"
"A","1779","CANADIAN JOURNAL OF PHYSICS","0008-4204","20"
"A","1780","CANADIAN JOURNAL OF PHYSIOLOGY AND PHARMACOLOGY","0008-4212","20"
"A","1781","CANADIAN JOURNAL OF PLANT PATHOLOGY","0706-0661","20"
"A","1782","CANADIAN JOURNAL OF PLANT SCIENCE","0008-4220","25"
"A","1783","Canadian Journal of Plastic Surgery","1195-2199","15"
"A","1784","CANADIAN JOURNAL OF POLITICAL SCIENCE-REVUE CANADIENNE DE SCIENCE POLITIQUE","0008-4239","15"
"A","1785","CANADIAN JOURNAL OF PSYCHIATRY-REVUE CANADIENNE DE PSYCHIATRIE","0706-7437","30"
"A","1786","CANADIAN JOURNAL OF PUBLIC HEALTH-REVUE CANADIENNE DE SANTE PUBLIQUE","0008-4263","25"
"A","1787","CANADIAN JOURNAL OF REMOTE SENSING","1712-7971","20"
"A","1788","CANADIAN JOURNAL OF SOCIOLOGY-CAHIERS CANADIENS DE SOCIOLOGIE","0318-6431","15"
"A","1789","CANADIAN JOURNAL OF SOIL SCIENCE","0008-4271","20"
"A","1790","CANADIAN JOURNAL OF STATISTICS-REVUE CANADIENNE DE STATISTIQUE","0319-5724","20"
"A","1791","CANADIAN JOURNAL OF SURGERY","0008-428X","25"
"A","1792","Canadian Journal of Urology","1195-9479","15"
"A","1793","CANADIAN JOURNAL OF VETERINARY RESEARCH-REVUE CANADIENNE DE RECHERCHE VETERINAIRE","0830-9000","30"
"A","1794","CANADIAN JOURNAL OF ZOOLOGY-REVUE CANADIENNE DE ZOOLOGIE","0008-4301","30"
"A","1795","CANADIAN JOURNAL ON AGING-REVUE CANADIENNE DU VIEILLISSEMENT","0714-9808","20"
"A","1796","CANADIAN MATHEMATICAL BULLETIN-BULLETIN CANADIEN DE MATHEMATIQUES","0008-4395","15"
"A","1797","CANADIAN MEDICAL ASSOCIATION JOURNAL","0820-3946","45"
"A","1798","CANADIAN METALLURGICAL QUARTERLY","0008-4433","20"
"A","1799","CANADIAN MINERALOGIST","0008-4476","20"
"A","1800","CANADIAN PSYCHOLOGY-PSYCHOLOGIE CANADIENNE","0708-5591","30"
"A","1801","CANADIAN PUBLIC ADMINISTRATION-ADMINISTRATION PUBLIQUE DU CANADA","0008-4840","15"
"A","1802","CANADIAN PUBLIC POLICY-ANALYSE DE POLITIQUES","0317-0861","20"
"A","1803","Canadian Respiratory Journal","1198-2241","20"
"A","1804","Canadian Review of Sociology-Revue Canadienne de Sociologie","1755-6171","20"
"A","1805","Canadian Studies in Population","0380-1489","15"
"A","1806","CANADIAN VETERINARY JOURNAL-REVUE VETERINAIRE CANADIENNE","0008-5286","25"
"A","1807","Canadian Water Resources Journal","0701-1784","15"
"A","1808","CANCER","0008-543X","40"
"A","1809","CANCER AND METASTASIS REVIEWS","0167-7659","45"
"A","1810","CANCER BIOLOGY & THERAPY","1538-4047","30"
"A","1811","Cancer Biomarkers","1574-0153","15"
"A","1812","CANCER BIOTHERAPY AND RADIOPHARMACEUTICALS","1084-9785","20"
"A","1813","CANCER CAUSES & CONTROL","0957-5243","35"
"A","1814","CANCER CELL","1535-6108","50"
"A","1815","Cancer Cell International","1475-2867","25"
"A","1816","CANCER CHEMOTHERAPY AND PHARMACOLOGY","0344-5704","30"
"A","1817","Cancer Control","1073-2748","30"
"A","1818","CANCER CYTOPATHOLOGY","1934-662X","35"
"A","1819","Cancer Discovery","2159-8274","45"
"A","1820","Cancer Epidemiology","1877-7821","30"
"A","1821","CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION","1055-9965","40"
"A","1822","CANCER GENE THERAPY","0929-1903","30"
"A","1823","Cancer Genetics","2210-7762","20"
"A","1824","CANCER GENETICS AND CYTOGENETICS","0165-4608","15"
"A","1825","CANCER IMAGING","1470-7330","25"
"A","1826","CANCER IMMUNOLOGY IMMUNOTHERAPY","0340-7004","30"
"A","1827","CANCER INVESTIGATION","0735-7907","20"
"A","1828","CANCER JOURNAL","1528-9117","30"
"A","1829","CANCER LETTERS","0304-3835","35"
"A","1830","CANCER NURSING","0162-220X","35"
"A","1831","Cancer Prevention Research","1940-6207","35"
"A","1832","Cancer Radiotherapie","1278-3218","15"
"A","1833","CANCER RESEARCH","0008-5472","45"
"A","1834","Cancer Research and Treatment","1598-2998","20"
"A","1835","CANCER SCIENCE","1347-9032","30"
"A","1836","CANCER TREATMENT REVIEWS","0305-7372","40"
"A","1837","CANDOLLEA","0373-2967","15"
"A","1838","CARBOHYDRATE POLYMERS","0144-8617","40"
"A","1839","CARBOHYDRATE RESEARCH","0008-6215","25"
"A","1840","CARBON","0008-6223","40"
"A","1841","CARBONATES AND EVAPORITES","0891-2556","15"
"A","1842","CARCINOGENESIS","0143-3334","40"
"A","1843","CARDIOLOGY","0008-6312","20"
"A","1844","Cardiology  Journal","1897-5593","20"
